zip,cases,city,stabb,place,deaths,tests,deathcount,populationcount,casesper100000,casesbyzipcodesummarytable,zip_cd,patient_count,population,percentage,zipcode
41,0,"","FL","Florida",,,,"","",,,"","","",
42,0,"","FL","Florida",,,,"","",,,"","","",
43,0,"","FL","Florida",,,,"","",,,"","","",
45,0,"","FL","Florida",,,,"","",,,"","","",
53,0,"","FL","Florida",,,,"","",,,"","","",
87,0,"","FL","Florida",,,,"","",,,"","","",
97,0,"","FL","Florida",,,,"","",,,"","","",
98,0,"","FL","Florida",,,,"","",,,"","","",
967,1888,"","HI","Hawaii",,,,"","",,,"","","",
968,730,"","HI","Hawaii",,,,"","",,,"","","",
9673,566,"","HI","Hawaii",,,,"","",,,"","","",
9674,814,"","HI","Hawaii",,,,"","",,,"","","",
9675,103,"","HI","Hawaii",,,,"","",,,"","","",
9676,2085,"","HI","Hawaii",,,,"","",,,"","","",
9677,1116,"","HI","Hawaii",,,,"","",,,"","","",
9678,779,"","HI","Hawaii",,,,"","",,,"","","",
9679,1761,"","HI","Hawaii",,,,"","",,,"","","",
9683,551,"","HI","Hawaii",,,,"","",,,"","","",
9684,377,"","HI","Hawaii",,,,"","",,,"","","",
9685,728,"","HI","Hawaii",,,,"","",,,"","","",
9686,1353,"","HI","Hawaii",,,,"","",,,"","","",
9687,1547,"","HI","Hawaii",,,,"","",,,"","","",
9688,771,"","HI","Hawaii",,,,"","",,,"","","",
9689,2425,"","HI","Hawaii",,,,"","",,,"","","",
10001,1058,"New York City","NY","",28,16596,,"","",,,"","","",
10002,4004,"New York City","NY","",202,40400,,"","",,,"","","",
10003,1844,"New York City","NY","",39,37085,,"","",,,"","","",
10004,196,"New York City","NY","",2,3119,,"","",,,"","","",
10005,276,"New York City","NY","",0,5234,,"","",,,"","","",
10006,119,"New York City","NY","",1,2109,,"","",,,"","","",
10007,262,"New York City","NY","",4,5532,,"","",,,"","","",
10009,2429,"New York City","NY","",87,33886,,"","",,,"","","",
10010,1219,"New York City","NY","",31,24026,,"","",,,"","","",
10011,1805,"New York City","NY","",52,31655,,"","",,,"","","",
10012,872,"New York City","NY","",12,15763,,"","",,,"","","",
10013,1128,"New York City","NY","",24,19661,,"","",,,"","","",
10014,1096,"New York City","NY","",28,21020,,"","",,,"","","",
10016,2200,"New York City","NY","",52,34822,,"","",,,"","","",
10017,598,"New York City","NY","",15,10190,,"","",,,"","","",
10018,401,"New York City","NY","",7,6591,,"","",,,"","","",
10019,1720,"New York City","NY","",52,27833,,"","",,,"","","",
10021,1621,"New York City","NY","",74,28435,,"","",,,"","","",
10022,1192,"New York City","NY","",40,20811,,"","",,,"","","",
10023,1913,"New York City","NY","",61,36054,,"","",,,"","","",
10024,1952,"New York City","NY","",84,37076,,"","",,,"","","",
10025,3636,"New York City","NY","",210,61226,,"","",,,"","","",
10026,1870,"New York City","NY","",66,20243,,"","",,,"","","",
10027,2798,"New York City","NY","",132,34276,,"","",,,"","","",
10028,1567,"New York City","NY","",42,27076,,"","",,,"","","",
10029,4517,"New York City","NY","",247,42573,,"","",,,"","","",
10030,1456,"New York City","NY","",65,14363,,"","",,,"","","",
10031,3348,"New York City","NY","",157,29484,,"","",,,"","","",
10032,4048,"New York City","NY","",197,32482,,"","",,,"","","",
10033,3683,"New York City","NY","",138,29338,,"","",,,"","","",
10034,2603,"New York City","NY","",82,20838,,"","",,,"","","",
10035,2231,"New York City","NY","",150,19894,,"","",,,"","","",
10036,1345,"New York City","NY","",48,18681,,"","",,,"","","",
10037,1029,"New York City","NY","",77,10895,,"","",,,"","","",
10038,954,"New York City","NY","",37,12782,,"","",,,"","","",
10039,1333,"New York City","NY","",76,12262,,"","",,,"","","",
10040,3139,"New York City","NY","",137,24121,,"","",,,"","","",
10044,449,"New York City","NY","",38,6078,,"","",,,"","","",
10065,1064,"New York City","NY","",33,19733,,"","",,,"","","",
10069,283,"New York City","NY","",3,4695,,"","",,,"","","",
10075,1101,"New York City","NY","",54,16361,,"","",,,"","","",
10128,2119,"New York City","NY","",55,36737,,"","",,,"","","",
10280,232,"New York City","NY","",2,4565,,"","",,,"","","",
10282,163,"New York City","NY","",14,3111,,"","",,,"","","",
10301,3328,"New York City","NY","",129,23003,,"","",,,"","","",
10302,1766,"New York City","NY","",46,10328,,"","",,,"","","",
10303,2253,"New York City","NY","",60,14744,,"","",,,"","","",
10304,3991,"New York City","NY","",225,25495,,"","",,,"","","",
10305,4099,"New York City","NY","",106,23897,,"","",,,"","","",
10306,5485,"New York City","NY","",178,32771,,"","",,,"","","",
10307,1335,"New York City","NY","",22,8085,,"","",,,"","","",
10308,2589,"New York City","NY","",48,15902,,"","",,,"","","",
10309,3129,"New York City","NY","",47,18996,,"","",,,"","","",
10310,2110,"New York City","NY","",45,14113,,"","",,,"","","",
10312,5453,"New York City","NY","",93,34031,,"","",,,"","","",
10314,8345,"New York City","NY","",286,50682,,"","",,,"","","",
10451,3617,"New York City","NY","",164,26600,,"","",,,"","","",
10452,6035,"New York City","NY","",205,40053,,"","",,,"","","",
10453,6188,"New York City","NY","",195,39877,,"","",,,"","","",
10454,2854,"New York City","NY","",129,20643,,"","",,,"","","",
10455,3123,"New York City","NY","",131,21910,,"","",,,"","","",
10456,5956,"New York City","NY","",308,44778,,"","",,,"","","",
10457,5338,"New York City","NY","",212,37760,,"","",,,"","","",
10458,5729,"New York City","NY","",155,38651,,"","",,,"","","",
10459,3689,"New York City","NY","",183,26836,,"","",,,"","","",
10460,4279,"New York City","NY","",155,28935,,"","",,,"","","",
10461,4315,"New York City","NY","",160,28590,,"","",,,"","","",
10462,5634,"New York City","NY","",208,39440,,"","",,,"","","",
10463,4880,"New York City","NY","",252,39136,,"","",,,"","","",
10464,301,"New York City","NY","",12,2574,,"","",,,"","","",
10465,3652,"New York City","NY","",114,24661,,"","",,,"","","",
10466,5039,"New York City","NY","",189,35073,,"","",,,"","","",
10467,7924,"New York City","NY","",378,54433,,"","",,,"","","",
10468,6564,"New York City","NY","",249,41156,,"","",,,"","","",
10469,5462,"New York City","NY","",400,38270,,"","",,,"","","",
10470,1241,"New York City","NY","",31,8013,,"","",,,"","","",
10471,1641,"New York City","NY","",103,15512,,"","",,,"","","",
10472,4943,"New York City","NY","",226,32952,,"","",,,"","","",
10473,4791,"New York City","NY","",179,32394,,"","",,,"","","",
10474,798,"New York City","NY","",23,5700,,"","",,,"","","",
10475,2967,"New York City","NY","",205,22847,,"","",,,"","","",
11004,1160,"New York City","NY","",76,11230,,"","",,,"","","",
11101,1999,"New York City","NY","",48,25022,,"","",,,"","","",
